category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,review_total,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
hybrid,alohaberry, happy, energetic, euphoric, creative, uplifted , stress, pain, depression, nausea, muscle spasms , dry mouth, dry eyes, paranoid ,,,1. berry,2. sweet,3. citrus,27.0,n,n,n,n,n,n,n
sativa,alpha blue, uplifted, energetic, happy, relaxed, focused , pain, stress, muscle spasms, depression, fatigue , dry mouth, anxious, dizzy, dry eyes, paranoid ,1. sweet,2. diesel,3. berry,105.0,blue dream,nyc diesel,n,n,n,n,n
sativa,alpha express, energetic, uplifted, focused, creative, happy , insomnia, lack of appetite, cramps, depression, fatigue , dry mouth, anxious ,,,,1. diesel,2. spicy/herbal,3. berry,6.0,alpha blue,ghost train haze,n,n,n,n,n
hybrid,alpha og, relaxed, euphoric, uplifted, sleepy, happy , insomnia, stress, depression, fatigue, headaches , dry mouth, dry eyes, headache, dizzy, paranoid ,1. earthy,2. pungent,3. pine,46.0,og kush,n,n,n,n,n,n
hybrid,alpine blue, relaxed, sleepy, euphoric, uplifted, happy , pain, insomnia, stress, lack of appetite, depression , dry eyes ,,,,,1. berry,2. earthy,3. honey,9.0,blue mystic,power plant,n,n,n,n,n
indica,alpine star, uplifted, aroused, euphoric, creative, focused , stress, insomnia, pain, eye pressure, depression , dry mouth, anxious, paranoid, dry eyes, headache ,1. earthy,2. pine,3. woody,23.0,tahoe og kush,sensi star,n,n,n,n,n
hybrid,als dream, energetic, talkative ,,,,,,,,,,,,,,,,,,albert walker,blue dream,n,n,n,n,n
hybrid,altoyd, sleepy ,,,,, headaches ,,,,, dizzy, headache ,,,,,,,1.0,gelato,sour diesel,sour tangie,n,n,n,n
hybrid,ambrosia, relaxed, aroused, sleepy, happy, uplifted , stress, depression, headaches, pain, insomnia , dry mouth, dry eyes, anxious, paranoid, dizzy ,1. flowery,2. sage,3. tree fruit,,god bud,n,n,n,n,n,n
indica,american beauty, euphoric, relaxed, sleepy, uplifted, creative , insomnia, stress, pain, headaches, nausea , dry eyes, dry mouth ,,,,1. mango,2. peach,3. tropical,,plushberry,n,n,n,n,n,n
hybrid,american dream, euphoric, creative, happy, uplifted, energetic , stress, pain, depression, nausea, lack of appetite , dry mouth, dizzy, anxious, dry eyes, headache ,1. skunk,2. earthy,3. pungent,17.0,afghan skunk,jamaican,hawaiian,n,n,n,n
indica,american kush, relaxed, happy, tingly, sleepy, euphoric , eye pressure, pain, stress, muscle spasms, headaches , dizzy, dry eyes, dry mouth, headache, anxious ,1. sweet,2. coffee,3. spicy/herbal,,pre-98 bubba kush,sin city kush,n,n,n,n,n
hybrid,american pie, euphoric, relaxed, uplifted, happy, creative , depression, stress ,,,,,,,,,1. earthy,2. pine,3. sweet,5.0,power plant,white widow,n,n,n,n,n
indica,americano, euphoric, relaxed, aroused, creative, focused , headaches, nausea, pain ,,, dry eyes ,,,,,1. earthy,2. diesel,3. lemon,,northern lights,skunk 1,n,n,n,n,n
hybrid,amethyst, happy, relaxed, euphoric, giggly, hungry , stress, depression, pain, fatigue ,, dry mouth, dry eyes ,,,,1. sweet,,,,sage n sour,granddaddy purple,n,n,n,n,n
hybrid,amethyst bud, euphoric, uplifted, creative, happy, relaxed , stress, insomnia, nausea, pain, depression , dry mouth, dry eyes, headache, paranoid ,,1. berry,2. woody,3. sweet,22.0,lavender,afghan hawaiian,n,n,n,n,n
hybrid,amherst sour diesel, uplifted, euphoric, relaxed, energetic, happy , depression, fatigue, stress, muscle spasms, pain , dry mouth, dry eyes ,,,,1. earthy,2. flowery,3. pungent,5.0,chemdog,n,n,n,n,n,n
sativa,amnesia, happy, uplifted, energetic, relaxed, euphoric , stress, depression, pain, lack of appetite, insomnia , dry mouth, paranoid, dizzy, dry eyes, anxious ,1. earthy,2. citrus,3. lemon,652.0,cinderella 99,jack herer,skunk no 1,n,n,n,n
sativa,amnesia ganja haze, creative, euphoric, happy, relaxed ,,,,,,, dry mouth ,,,,,1. spicy/herbal,2. sweet,3. tropical,4.0,amnesia haze,n,n,n,n,n,n
sativa,amnesia haze, happy, euphoric, uplifted, relaxed, energetic , stress, depression, pain, insomnia, fatigue , dry mouth, dry eyes, paranoid, dizzy, anxious ,1. citrus,2. earthy,3. lemon,1345.0,thai,afghani,hawaiian,jamaican,south asian indica,cambodian,haze
sativa,amnesia og, relaxed, euphoric, happy, uplifted, focused , stress, depression, nausea, pain, fatigue , dry mouth ,,,,,1. diesel,2. cheese,3. citrus,7.0,amnesia,biker kush,n,n,n,n,n
indica,ancient kush, aroused, creative, energetic, focused, giggly , stress, headaches, lack of appetite, pain ,, anxious, dizzy, dry eyes, dry mouth, paranoid ,1. cheese,2. skunk,3. citrus,,n,n,n,n,n,n,n
indica,ancient og, relaxed, euphoric, sleepy, uplifted, happy , stress, insomnia, depression, pain, muscle spasms , dry mouth, dizzy, dry eyes, paranoid ,,1. pine,2. lemon,3. citrus,78.0,south asian indica,snow lotus,n,n,n,n,n
indica,anesthesia, relaxed, sleepy, happy, euphoric, uplifted , pain, stress, insomnia, depression, muscle spasms , dry mouth, dry eyes, dizzy, paranoid, headache ,1. earthy,2. pungent,3. woody,48.0,herijuana,afghan skunk,n,n,n,n,n
indica,angel og, sleepy, relaxed, euphoric, uplifted, happy , insomnia, pain, stress, fatigue, muscle spasms , dry mouth, dry eyes, dizzy, anxious, headache ,1. pungent,2. berry,3. diesel,24.0,og kush,blackberry,n,n,n,n,n
hybrid,animal blues, focused, uplifted, euphoric, talkative, relaxed , spasticity, pain, stress, cramps, headaches , dry mouth ,,,,,1. earthy,2. chestnut,3. sweet,,animal cookies,n,n,n,n,n,n
hybrid,animal gas, euphoric, creative, happy, relaxed, uplifted , depression, fatigue, headaches, insomnia, nausea ,,,,,,1. diesel,2. chemical,3. earthy,4.0,chemdog 91,animal cookies,n,n,n,n,n
hybrid,animal mint,euphoric,giggly,happy,relaxed,talkative,,,,,,,,,,,1. mint,2. sweet,,4.0,animal cookies,thin mint gsc,n,n,n,n,n
hybrid,animal sherbert, aroused, energetic, euphoric, focused, giggly ,,,,,, anxious, dizzy, dry eyes, dry mouth, paranoid ,1. earthy,2. nutty,3. pungent,1.0,animal cookies,sherbert,n,n,n,n,n
indica,anonymous og, relaxed, sleepy, happy, euphoric, hungry , eye pressure, insomnia, lack of appetite, nausea, stress , paranoid, dry mouth, dizzy, dry eyes ,,1. earthy,2. citrus,3. diesel,13.0,n,n,n,n,n,n,n
indica,anubis, relaxed, euphoric, uplifted, talkative, happy , stress, depression, pain, insomnia, fatigue , anxious, dry eyes, dry mouth ,,,1. grape,2. lime,3. citrus,7.0,somango,wembley,n,n,n,n,n
hybrid,ape shit, happy, giggly, uplifted, relaxed, euphoric , depression, eye pressure, insomnia, stress, headaches , dry mouth, dry eyes ,,,,1. grape,2. sweet,3. blueberry,7.0,purple urkle,acapulco gold,cinderella 99,n,n,n,n
hybrid,apollo 11, tingly, euphoric, uplifted, relaxed, aroused , stress, pain, insomnia, inflammation, muscle spasms , dry mouth, dizzy, anxious, dry eyes, headache ,1. citrus,2. pine,3. pungent,67.0,cinderella 99,jack herer,n,n,n,n,n
hybrid,apollo 13, uplifted, relaxed, aroused, euphoric, happy , stress, pain, fatigue, nausea, cramps , dizzy, dry mouth, dry eyes, paranoid, headache ,1. earthy,2. pungent,3. woody,147.0,jack herer,n,n,n,n,n,n
hybrid,apollo 13 haze, creative, energetic, euphoric, focused, happy , depression, fatigue ,,,, anxious, dry eyes ,,,,1. citrus,2. earthy,3. flowery,1.0,apollo 13,cinderella 99,super silver haze,n,n,n,n
hybrid,apollo haze, euphoric, relaxed, talkative, uplifted, creative ,,,,,, dry eyes, dry mouth, headache ,,,1. cheese,2. chemical,3. citrus,4.0,super silver haze,cinderella 99,n,n,n,n,n
hybrid,appalachia, relaxed, happy, uplifted, hungry, euphoric , pain, stress, inflammation, nausea, insomnia , dry mouth, dry eyes, anxious, paranoid ,,1. skunk,2. earthy,3. pine,25.0,green crack,tres dawg,n,n,n,n,n
sativa,appalachian power, euphoric, creative, focused, energetic, happy ,,,,,,,,,,,1. grape,2. tropical,3. citrus,6.0,island sweet skunk,white widow,lifesaver,n,n,n,n
hybrid,apple jack, relaxed, uplifted, happy, focused, euphoric , depression, stress, pain, insomnia, nausea , dry mouth, dry eyes, paranoid, dizzy, anxious ,1. apple,2. earthy,3. sweet,69.0,jack herer,white widow,n,n,n,n,n
hybrid,apple kush, euphoric, happy, uplifted, relaxed, creative , stress, depression, pain, insomnia, cramps , dry eyes, dry mouth, dizzy, headache, anxious ,1. apple,2. diesel,3. sweet,45.0,sour diesel,pure kush,n,n,n,n,n
indica,appleberry, relaxed, happy, uplifted, hungry, euphoric , stress, depression, pain, muscle spasms, fatigue , dry mouth, anxious, paranoid ,,,1. apple,2. flowery,3. blueberry,11.0,dynamite,bubblicious,white widow,n,n,n,n
sativa,arabian gold, sleepy, relaxed, euphoric, creative, hungry , stress, insomnia, pain ,,, dry mouth, dry eyes, dizzy, paranoid ,,,,,11.0,n,n,n,n,n,n,n
hybrid,arctic sun, creative, relaxed, energetic, euphoric, focused , stress ,,,,,,,,,,1. ammonia,2. skunk,,,skunk no 1,white widow,n,n,n,n,n
hybrid,arcticblue, relaxed, happy, creative, euphoric, aroused , stress, insomnia, pain, depression, inflammation , dry mouth, anxious, dry eyes, dizzy ,,1. blueberry,2. sweet,3. earthy,21.0,dj short blueberry,n,n,n,n,n,n
hybrid,area 51, uplifted, euphoric, happy, focused, creative , stress, depression, pain, headaches, fatigue , dry mouth, dizzy, dry eyes, headache ,,1. pungent,2. sweet,3. lavender,41.0,n,n,n,n,n,n,n
indica,argyle, happy, relaxed, sleepy, uplifted, creative , stress, muscle spasms, insomnia, pain, inflammation , dizzy, dry mouth, dry eyes ,,,1. spicy/herbal,2. earthy,3. woody,29.0,afghani,sensi star,n,n,n,n,n
sativa,arjans strawberry haze, energetic, uplifted, creative, talkative, happy , depression, stress, pain, lack of appetite, fatigue , dry mouth, dry eyes, paranoid, dizzy, headache ,1. strawberry,2. sweet,3. berry,115.0,northern lights 5,haze,kali mist,swiss sativa,n,n,n
sativa,arjans ultra haze 1, euphoric, uplifted, creative, aroused, tingly , stress, lack of appetite, headaches, muscle spasms, fatigue , dry eyes, dry mouth, dizzy, paranoid ,,1. mint,2. pepper,3. earthy,13.0,nevilles haze,south asian sativa,n,n,n,n,n
hybrid,armageddon, happy, relaxed, hungry, sleepy, tingly , pain, stress, depression, nausea, headaches , dry mouth, dizzy, dry eyes, paranoid, anxious ,1. citrus,2. earthy,3. woody,43.0,n,n,n,n,n,n,n
hybrid,armagnac, relaxed, sleepy, giggly, happy, hungry , insomnia, stress ,,,, dry mouth, dizzy ,,,,1. earthy,2. flowery,3. skunk,,the white,grape kush,n,n,n,n,n
hybrid,ash, relaxed, happy, uplifted, euphoric, creative , stress, pain, eye pressure, lack of appetite, headaches , dry mouth, dry eyes, anxious, dizzy, headache ,1. pungent,2. skunk,3. spicy/herbal,,afghan skunk,afghan haze,n,n,n,n,n
sativa,asian fantasy, creative, energetic, relaxed, euphoric, happy , pain, depression, fatigue, cramps, stress , dry mouth, dry eyes, dizzy, paranoid, anxious ,1. flowery,2. vanilla,3. earthy,52.0,n,n,n,n,n,n,n
hybrid,aspen og, focused, happy, relaxed, hungry, talkative , headaches, stress, depression, fatigue, inflammation ,,,,,,1. spicy/herbal,2. blueberry,3. earthy,8.0,sour cream,sfv og kush,n,n,n,n,n
hybrid,astral works, energetic, focused, uplifted, creative, relaxed , pain, depression, stress ,,, anxious ,,,,,1. earthy,2. flowery,3. spicy/herbal,3.0,harle-tsu,tangerine haze,n,n,n,n,n
sativa,astroboy, energetic, happy, focused, creative, uplifted , depression, stress, fatigue, pain, eye pressure , dry eyes, anxious, dry mouth, dizzy, paranoid ,1. citrus,2. flowery,3. sweet,30.0,apollo 13,ortega,cinderella 99,n,n,n,n
indica,athabasca, happy, uplifted, talkative, relaxed, giggly , stress, seizures, depression, fatigue, headaches , dry mouth, dry eyes, anxious, dizzy, headache ,1. earthy,2. mint,3. apricot,5.0,harlequin,jack the ripper,n,n,n,n,n
hybrid,atmosphere, euphoric, uplifted, happy, creative, relaxed , depression, stress, lack of appetite, pain, fatigue , dry eyes, dry mouth, anxious ,,,1. flowery,2. pungent,3. woody,18.0,white widow,og kush,n,n,n,n,n
hybrid,atomic, happy, relaxed, euphoric, creative, energetic , depression, fatigue, stress, insomnia, inflammation , dry mouth, dry eyes ,,,,1. earthy,2. sweet,3. woody,9.0,og kush,chemdawg,thc bomb,n,n,n,n
hybrid,atomic goat, uplifted, giggly, happy, relaxed, energetic , stress, depression, insomnia, pain, headaches , dry eyes, dry mouth ,,,,1. spicy/herbal,2. nutty,3. sage,,golden goat,chernobyl,n,n,n,n,n
hybrid,atomic northern lights, happy, relaxed, hungry, aroused, euphoric , stress, pain, depression, nausea, headaches , dry mouth, dry eyes, dizzy, paranoid, headache ,1. sweet,2. earthy,3. pine,108.0,afghani,thai haze,northern lights,n,n,n,n
sativa,atomical haze, uplifted, euphoric, relaxed, happy, energetic , stress, pain, depression, fatigue, inflammation , dry mouth, dizzy, dry eyes ,,,1. pungent,2. skunk,3. earthy,24.0,haze,south indian indica,n,n,n,n,n
indica,aurora borealis, relaxed, happy, sleepy, uplifted, talkative , insomnia, lack of appetite, pain, stress, depression , dry mouth, dry eyes ,,,,1. earthy,2. woody,3. flowery,35.0,northern lights,skunk no 1,n,n,n,n,n
indica,aurora indica, relaxed, sleepy, happy, euphoric, uplifted , stress, pain, muscle spasms, insomnia, depression , dry eyes, dry mouth, anxious, paranoid, dizzy ,1. earthy,2. woody,3. spicy/herbal,95.0,afghani,northern lights,n,n,n,n,n
hybrid,avalon, focused, aroused, hungry, tingly, giggly , pain, nausea, stress, insomnia ,, dizzy, dry mouth, paranoid, headache ,,1. blueberry,2. earthy,3. nutty,,afghani,blueberry,n,n,n,n,n
hybrid,avi, relaxed, focused, happy, creative, uplifted , depression, fatigue, inflammation, insomnia, muscle spasms , dry mouth, dry eyes, paranoid ,,,1. earthy,2. pungent,,6.0,n,n,n,n,n,n,n
indica,ayahuasca purple, relaxed, sleepy, creative, hungry, happy , stress, pain, depression, insomnia, nausea , dry eyes, dry mouth, dizzy, anxious ,,1. earthy,2. woody,3. nutty,45.0,master kush,n,n,n,n,n,n
hybrid,azure haze, relaxed, happy, uplifted, euphoric, focused , depression, stress, insomnia, pain, lack of appetite , dry mouth, dizzy, anxious, dry eyes ,,1. sweet,2. blueberry,3. berry,,blueberry,super silver haze,n,n,n,n,n
hybrid,b4, relaxed, uplifted, energetic, euphoric, creative , stress, depression, pain, headaches, muscle spasms , anxious, dry eyes, dry mouth ,,,1. citrus,2. lime,3. lemon,16.0,blue dream,chemdawg 4,n,n,n,n,n
indica,bakerstreet, relaxed, euphoric, focused, happy, sleepy , pain, depression, stress, insomnia, lack of appetite , dry mouth, dry eyes, paranoid, anxious, dizzy ,1. earthy,2. woody,3. diesel,25.0,hindu kush,n,n,n,n,n,n
hybrid,balmoral, happy, relaxed, focused, creative, uplifted , stress, fatigue, depression, pain, headaches , dry mouth, dry eyes, anxious, headache ,,1. earthy,2. cheese,3. pungent,25.0,skunk 1,n,n,n,n,n,n
hybrid,banana bread, tingly, happy, relaxed, sleepy, euphoric , stress, fatigue, depression, pain, headaches , dry mouth, anxious, headache ,,,1. earthy,2. chemical,3. coffee,9.0,purple kush,n,n,n,n,n,n
indica,banana candy, relaxed, giggly, sleepy, hungry, euphoric , stress, pain, lack of appetite, nausea, insomnia , headache, dry mouth, dry eyes, dizzy, paranoid ,1. sweet,2. tropical,3. mango,25.0,n,n,n,n,n,n,n
hybrid,banana cream og, creative, relaxed, happy, euphoric, uplifted , stress, depression, pain, muscle spasms, nausea , dry eyes, dry mouth, dizzy ,,,1. pine,2. citrus,3. sweet,22.0,blue dream,banana og,n,n,n,n,n
hybrid,banana diesel, happy, relaxed, euphoric, uplifted, focused , stress, pain, depression, fatigue, headaches , dry mouth, dry eyes, dizzy, headache, paranoid ,1. diesel,2. tropical,3. berry,81.0,banana kush,super sour diesel,n,n,n,n,n
indica,banana hammock r1, relaxed, sleepy, hungry, euphoric, happy , pain, stress, insomnia, nausea, lack of appetite , dry eyes, dry mouth, headache ,,,1. sweet,2. tree fruit,3. citrus,18.0,grape god,n,n,n,n,n,n
hybrid,banana kush, relaxed, happy, euphoric, uplifted, talkative , stress, pain, depression, insomnia, inflammation , dry mouth, dry eyes, dizzy, headache, paranoid ,1. sweet,2. tropical,3. tree fruit,995.0,ghost og,skunk haze,n,n,n,n,n
hybrid,banana og, relaxed, euphoric, sleepy, happy, tingly , pain, stress, insomnia, depression, inflammation , dry mouth, dry eyes, dizzy, anxious, headache ,1. earthy,2. sweet,3. tree fruit,431.0,og kush,n,n,n,n,n,n
hybrid,banana peel, relaxed, euphoric, uplifted, happy, creative , pain, depression, fatigue, headaches, stress ,,,,,,1. sweet,2. tree fruit,3. diesel,,banana og,n,n,n,n,n,n
hybrid,banana punch 9, happy, relaxed, tingly ,,,,,,,, dry mouth ,,,,,,,,1.0,banana og,purple punch,n,n,n,n,n
hybrid,banana split, euphoric, relaxed, happy, focused, uplifted , stress, pain, depression, fatigue, inflammation , dry eyes, dry mouth, anxious, dizzy, paranoid ,1. citrus,2. tropical,3. sweet,58.0,tangie,n,n,n,n,n,n
hybrid,bananas, uplifted, euphoric, creative, relaxed, happy , stress, depression, pain, insomnia, lack of appetite , anxious, dry mouth, dry eyes, paranoid, dizzy ,1. tropical,2. sweet,3. tree fruit,28.0,n,n,n,n,n,n,n
hybrid,bandana, euphoric, happy, hungry, relaxed, creative , depression, fatigue, pain, stress, headaches , dry mouth, dry eyes ,,,,1. sweet,2. earthy,3. pungent,,707 headband,banana og,n,n,n,n,n
sativa,bangi haze, euphoric, uplifted, relaxed, creative, energetic , depression, stress, lack of appetite, pain, fatigue , dry mouth, dry eyes, paranoid ,,,1. berry,2. skunk,3. pungent,4.0,nepalese,n,n,n,n,n,n
hybrid,bango, focused, relaxed, uplifted, creative, energetic , depression, insomnia, lack of appetite, nausea ,,,,,,,1. pungent,2. chemical,3. citrus,6.0,white fire alien og,mango kush,n,n,n,n,n
hybrid,banjo, creative, euphoric, relaxed, happy, uplifted , stress, pain, depression, insomnia, nausea , dry eyes, anxious, paranoid, dry mouth, dizzy ,1. diesel,2. pungent,3. cheese,19.0,tangelo,n,n,n,n,n,n
indica,barbara bud, relaxed, happy, sleepy, giggly, uplifted , stress, insomnia, depression, lack of appetite, headaches , dry mouth, dry eyes, dizzy, anxious, headache ,1. sweet,2. citrus,3. earthy,37.0,shishkaberry,afghani,n,n,n,n,n
hybrid,batgirl, relaxed, euphoric ,,,, depression, inflammation, muscle spasms, pain, stress , dry mouth ,,,,,,,,,jacks cleaner,blueberry,n,n,n,n,n
indica,batman og, relaxed, happy, euphoric, sleepy, uplifted , insomnia, depression, lack of appetite, pain, eye pressure , dry mouth, dry eyes ,,,,1. skunk,2. pungent,3. pine,15.0,n,n,n,n,n,n,n
sativa,bay 11, energetic, focused, creative, happy, talkative , spasticity, depression, stress, pain, lack of appetite , dry mouth, anxious, dizzy, paranoid, dry eyes ,1. earthy,2. sweet,3. pine,100.0,appalachia,n,n,n,n,n,n
sativa,bay dream, focused, happy, euphoric, uplifted, aroused , stress, depression, pain, lack of appetite, fatigue , dry mouth, anxious, headache, dry eyes, paranoid ,1. flowery,2. sweet,3. citrus,100.0,n,n,n,n,n,n,n
hybrid,bazooka joe g, focused, creative, aroused, happy, hungry , depression, pain, stress, cramps, fatigue , dizzy, dry eyes, dry mouth ,,,1. berry,2. flowery,3. sweet,2.0,bubble gum,face off og,n,n,n,n,n
indica,bb king, relaxed, hungry, euphoric, sleepy, creative , muscle spasms, stress, insomnia, inflammation, headaches , dry mouth, paranoid ,,,,1. berry,2. lemon,3. citrus,16.0,blackberry kush,n,n,n,n,n,n
hybrid,bc big bud, relaxed, euphoric, happy, uplifted, creative , stress, pain, depression, lack of appetite, insomnia , dry mouth, dry eyes, dizzy, paranoid, anxious ,1. earthy,2. sweet,3. pungent,74.0,big bud,n,n,n,n,n,n
hybrid,bc roadkill, euphoric, happy, uplifted, creative, energetic , stress, pain, depression, nausea, fatigue , dry mouth, dry eyes, dizzy, paranoid, anxious ,1. citrus,2. tropical,3. pungent,31.0,deep chunk,skunk 1,n,n,n,n,n
indica,bc sweet tooth, creative, happy, relaxed, focused, uplifted , insomnia, depression, stress, nausea, pain , dry mouth, headache, dizzy, dry eyes, paranoid ,1. sweet,2. flowery,3. grape,,sweet tooth,n,n,n,n,n,n
hybrid,bear dance, happy, uplifted, euphoric, relaxed, energetic , stress, depression, pain, fatigue, eye pressure , dry eyes, dry mouth, anxious, paranoid, dizzy ,1. sweet,2. pungent,3. citrus,31.0,pure kush,n,n,n,n,n,n
hybrid,beastmode og,uplifted,talkative,euphoric,aroused,tingly,stress,pain,fatigue,lack of appetite,depression,dry mouth,anxious,dry eyes,paranoid,dizzy,1. earthy,2. flowery,3. pine,38,og kush,n,n,n,n,n,n
indica,beckwourth bud, relaxed, sleepy, talkative, hungry, focused , inflammation, insomnia, muscle spasms, pain, spasticity , dizzy, dry eyes, dry mouth ,,,1. nutty,2. spicy/herbal,3. coffee,1.0,black roses,lost sierra night nurse,n,n,n,n,n
hybrid,bedford glue, aroused, happy, euphoric, giggly, relaxed , eye pressure, inflammation, muscle spasms, pain, lack of appetite , paranoid, dry mouth ,,,,1. woody,2. earthy,3. ammonia,5.0,gorilla glue 1,highwayman,n,n,n,n,n
indica,bedica, relaxed, sleepy, happy, focused, hungry , pain, inflammation, insomnia, stress, headaches , dry mouth, dry eyes, dizzy, headache ,,1. woody,2. chemical,3. citrus,16.0,n,n,n,n,n,n,n
sativa,bediol, relaxed, sleepy, uplifted, creative, energetic , stress, pain, headaches, inflammation, depression , anxious, dry eyes ,,,,1. citrus,2. earthy,3. lemon,14.0,n,n,n,n,n,n,n
indica,bell ringer, relaxed, sleepy, hungry, euphoric, tingly , insomnia, lack of appetite, pain, stress, headaches , dry mouth, dry eyes ,,,,1. citrus,2. pungent,3. pine,6.0,hindu skunk,stardawg,pre-98 bubba kush,n,n,n,n
hybrid,belladonna, euphoric, energetic, hungry, happy, uplifted , stress, depression, pain, fatigue, insomnia , paranoid, dry mouth, dizzy, dry eyes, anxious ,1. earthy,2. nutty,3. tar,28.0,super skunk,n,n,n,n,n,n
sativa,berkeley, uplifted, energetic, happy, creative, euphoric , stress, depression, nausea, lack of appetite, pain , anxious, dry eyes, dry mouth, paranoid, headache ,1. citrus,2. pungent,3. sweet,21.0,n,n,n,n,n,n,n
hybrid,bermuda sour, hungry, relaxed, uplifted, energetic, focused , depression, lack of appetite ,,,, dry eyes ,,,,,1. citrus,2. diesel,3. sweet,,east coast sour diesel,triangle kush,n,n,n,n,n
hybrid,berry bomb, relaxed, focused, happy, euphoric, tingly , depression, pain, eye pressure, stress, insomnia , dry mouth, anxious, dry eyes, paranoid, dizzy ,1. berry,2. blueberry,3. pine,63.0,blueberry,n,n,n,n,n,n
hybrid,berry larry, relaxed, uplifted, euphoric, focused, happy , depression, stress, pain, nausea, insomnia , dry mouth, dry eyes ,,,,1. berry,2. earthy,3. pine,6.0,larry og,n,n,n,n,n,n
indica,berry noir, relaxed, euphoric, sleepy, happy, hungry , stress, depression, inflammation, insomnia, lack of appetite , dry eyes ,,,,,1. berry,2. earthy,3. flowery,,girl scout cookies,platinum og,blackberry,n,n,n,n
hybrid,berry og, relaxed, euphoric, hungry, tingly, aroused , stress, insomnia, lack of appetite, pain, headaches , anxious, dry mouth, paranoid, dry eyes, headache ,1. berry,2. sweet,3. flowery,64.0,og kush,blueberry,n,n,n,n,n
indica,berry white, relaxed, euphoric, happy, uplifted, creative , stress, depression, pain, lack of appetite, insomnia , dry mouth, dry eyes, anxious, paranoid, dizzy ,1. berry,2. blueberry,3. earthy,1039.0,blueberry,white widow,n,n,n,n,n
sativa,bertberry cheesecake, happy, energetic, creative, uplifted, talkative , depression, stress, lack of appetite, headaches, pain , anxious, dry mouth, headache, paranoid ,,1. cheese,2. berry,3. citrus,13.0,uk cheese,n,n,n,n,n,n
hybrid,berts cookie dough, energetic, happy, hungry, uplifted ,,,,,,,,,,,,,,,2.0,girl scout cookies,n,n,n,n,n,n
hybrid,best friend og,relaxed,sleepy,,,,inflammation,pain,stress,,,paranoid,,,,,,,,2,hells og,purple haze,n,n,n,n,n
hybrid,bettie page, relaxed, happy, aroused, hungry, creative , pain, stress, fatigue, depression, muscle spasms , dry mouth, anxious, dizzy, dry eyes ,,1. cheese,2. berry,3. blueberry,36.0,n,n,n,n,n,n,n
hybrid,bianca, uplifted, sleepy, relaxed, euphoric, happy , insomnia, stress, lack of appetite, depression, muscle spasms , anxious, dry mouth ,,,,1. woody,2. earthy,3. spicy/herbal,8.0,white widow,n,n,n,n,n,n
hybrid,biddy early, relaxed, sleepy, euphoric, happy, creative , stress, insomnia, fatigue, pain, depression , dizzy, anxious ,,,,1. sweet,2. flowery,3. lavender,,warlock,n,n,n,n,n,n
hybrid,big band, relaxed, euphoric, uplifted, happy, tingly , pain, lack of appetite, insomnia, stress, fatigue , dry eyes, dizzy, dry mouth ,,,1. sweet,2. tropical,3. woody,10.0,bubble gum,chronic,n,n,n,n,n
indica,big bang, happy, sleepy, creative, tingly, talkative , pain, depression, muscle spasms, headaches, stress , dry mouth, paranoid, dry eyes, dizzy, anxious ,1. sweet,2. berry,3. lemon,75.0,skunk 1,northern lights,el niño,n,n,n,n
indica,big bud, relaxed, sleepy, happy, focused, uplifted , stress, pain, depression, lack of appetite, insomnia , dry mouth, dry eyes, paranoid, dizzy, headache ,1. woody,2. pine,3. earthy,303.0,afghani,northern lights,skunk 1,n,n,n,n
