,strain,effect_1,effect_2,effect_3,effect_4,effect_5
2058,ol betsy, energetic, euphoric, focused, hungry, relaxed 
2059,old lyme connecticut og, energetic, happy, euphoric, focused, hungry 
2060,old mother sativa, happy, energetic, focused, giggly, creative 
2061,old school og, relaxed, sleepy, happy, tingly, euphoric 
2062,old toby, creative, happy, energetic, euphoric, relaxed 
2063,oldtimers haze, energetic, uplifted, euphoric, focused, happy 
2064,ogre berry, happy, euphoric, tingly, giggly, focused 
2065,ol betsy, energetic, euphoric, focused, hungry, relaxed 
2066,old lyme connecticut og, energetic, happy, euphoric, focused, hungry 
2067,old mother sativa, happy, energetic, focused, giggly, creative 
2068,old school og, relaxed, sleepy, happy, tingly, euphoric 
2069,old toby, creative, happy, energetic, euphoric, relaxed 
2070,oldtimers haze, energetic, uplifted, euphoric, focused, happy 
2071,omega, happy, relaxed, uplifted, euphoric, energetic 
2072,omega dawg, uplifted, relaxed, euphoric, aroused, happy 
2073,one to one, focused, relaxed, uplifted, energetic, creative 
2074,opal og kush, relaxed, euphoric, aroused, happy, sleepy 
2075,opium, euphoric, energetic, relaxed, happy, uplifted 
2076,or, hungry, relaxed, happy, euphoric, giggly 
2077,orange afghani, relaxed, hungry, creative, sleepy, euphoric 
2078,orange blossom, relaxed, happy, talkative, hungry, uplifted 
2079,orange bud, happy, energetic, focused, relaxed, euphoric 
2080,orange cream, relaxed, euphoric, happy, sleepy, uplifted 
2081,orange creamsicle, happy, relaxed, energetic, uplifted, talkative 
2082,orange crush, happy, relaxed, creative, energetic, uplifted 
2083,orange diesel, euphoric, relaxed, focused, uplifted, energetic 
2084,orange dream, relaxed, happy, uplifted, energetic, hungry 
2085,orange durban, energetic, uplifted, focused, happy, talkative 
2086,orange harambe, tingly, relaxed, sleepy, happy, hungry 
2087,orange haze, happy, hungry, uplifted, talkative, energetic 
2088,orange hill special, happy, sleepy, hungry, focused, uplifted 
2089,orange juice, relaxed, sleepy, happy, euphoric, uplifted 
2090,orange kush, relaxed, happy, sleepy, uplifted, euphoric 
2091,orange kush breath, happy, sleepy, euphoric, relaxed, uplifted 
2092,orange romulan, euphoric, relaxed, giggly, happy, tingly 
2093,orange skunk, happy, euphoric, giggly, talkative, energetic 
2094,orange snow cone, creative, energetic, euphoric, focused, happy 
2095,orange turbo, happy, uplifted, relaxed, energetic, euphoric 
2096,orange velvet, happy, relaxed, focused, uplifted, energetic 
2097,orange wreck, creative, happy, relaxed, focused, energetic 
2098,orangutang, relaxed, uplifted, euphoric, happy, focused 
2099,oregon diesel, relaxed, happy, euphoric, uplifted, focused 
2100,oregon pineapple, happy, euphoric, creative, giggly, energetic 
2101,oregon pinot noir, relaxed, happy, euphoric, hungry, uplifted 
2102,organic diesel, happy, uplifted, euphoric, relaxed, tingly 
2103,orient express, relaxed, happy, uplifted, euphoric, hungry 
2104,original glue, relaxed, euphoric, happy, uplifted, sleepy 
2105,ortega, relaxed, giggly, uplifted, euphoric, sleepy 
2106,oteils egyptian kush, happy, hungry, euphoric, focused, relaxed 
2107,outer space, uplifted, euphoric, relaxed, focused, happy 
2108,outlaw, uplifted, euphoric, happy, relaxed, creative 
2109,p 51, happy, euphoric, giggly, sleepy, hungry 
2110,p 91, euphoric, relaxed, happy, tingly, focused 
2111,pb souffl, euphoric, happy, relaxed, sleepy, energetic 
2112,pvc og, focused, tingly, energetic, euphoric, giggly 
2113,pacific blue, happy, euphoric, aroused, focused, creative 
2114,outlaw, uplifted, euphoric, happy, relaxed, creative 
2115,p 51, happy, euphoric, giggly, sleepy, hungry 
2116,p 91, euphoric, relaxed, happy, tingly, focused 
2117,pb souffl, euphoric, happy, relaxed, sleepy, energetic 
2118,pvc og, focused, tingly, energetic, euphoric, giggly 
2119,pacific blue, happy, euphoric, aroused, focused, creative 
2120,pacific frost, creative, happy, focused, energetic, euphoric 
2121,pagoda, happy, relaxed, euphoric, creative, hungry 
2122,pakistan valley kush, relaxed, sleepy, hungry, happy, tingly 
2123,pakistani chitral kush, relaxed, happy, euphoric, sleepy, hungry 
2124,palm tree cbd, relaxed, focused, happy, sleepy, euphoric 
2125,pamelina, relaxed, euphoric, tingly, happy, giggly 
2126,pan jam, creative, focused, happy, relaxed, talkative 
2127,panama punch, happy, euphoric, energetic, uplifted, relaxed 
2128,panama red, creative, talkative, energetic, happy, focused 
2129,panda og, happy, uplifted, relaxed, focused, euphoric 
2130,pandoras box, euphoric, uplifted, happy, energetic, tingly 
2131,papas og, relaxed, happy, sleepy, euphoric, uplifted 
2132,paris og, relaxed, sleepy, euphoric, happy, uplifted 
2133,paris xxx, creative, happy, energetic, euphoric, uplifted 
2134,patti cake, giggly, hungry, relaxed, uplifted ,
2135,peach cobbler, euphoric, relaxed, focused, giggly, happy 
2136,peach crescendo f 1, relaxed, hungry, focused, tingly, uplifted 
2137,peach puree, relaxed, uplifted, aroused, creative, energetic 
2138,peaches and cream, happy, relaxed, uplifted, focused, energetic 
2139,peachy mack, happy, energetic, euphoric, giggly, relaxed 
2140,pearl scout cookies, euphoric, tingly, relaxed, uplifted, energetic 
2141,peles fire og, relaxed, happy, uplifted, sleepy, creative 
2142,pennywise, relaxed, happy, euphoric, uplifted, focused 
2143,peppermint cookies, relaxed, happy, euphoric, giggly, uplifted 
2144,perfect purple, energetic, happy, creative, euphoric, relaxed 
2145,permafrost, happy, uplifted, euphoric, relaxed, focused 
2146,pestilence, creative, euphoric, focused, relaxed, sleepy 
2147,petrolia headstash, euphoric, relaxed, aroused, uplifted, happy 
2148,peyote cookies, relaxed, sleepy, euphoric, happy, uplifted 
2149,peyton manning, creative, euphoric, focused, giggly, uplifted 
2150,pez, happy, uplifted, focused, relaxed, euphoric 
2151,phantom arrow, happy, relaxed, euphoric, focused, hungry 
2152,phantom cookies, happy, uplifted, relaxed, euphoric, focused 
2153,phantom og, happy, relaxed, euphoric, sleepy, uplifted 
2154,phatt frutty, happy, talkative, aroused, hungry, relaxed 
2155,pheno 51, relaxed, happy, euphoric, uplifted, creative 
2156,phishhead kush, happy, euphoric, relaxed, giggly, creative 
2157,pie face og, sleepy, happy, relaxed, euphoric, uplifted 
2158,pie hoe, euphoric, relaxed, happy, uplifted, giggly 
2159,pine cone, creative, tingly, aroused, giggly, focused 
2160,pine queen dream, talkative, aroused, euphoric, focused, happy 
2161,pine tar kush, uplifted, hungry, giggly, happy, focused 
2162,pineapple, happy, relaxed, euphoric, uplifted, talkative 
2163,pineapple cookies, happy, relaxed, creative, uplifted, giggly 
2164,pie hoe, euphoric, relaxed, happy, uplifted, giggly 
2165,pine cone, creative, tingly, aroused, giggly, focused 
2166,pine queen dream, talkative, aroused, euphoric, focused, happy 
2167,pine tar kush, uplifted, hungry, giggly, happy, focused 
2168,pineapple, happy, relaxed, euphoric, uplifted, talkative 
2169,pineapple cookies, happy, relaxed, creative, uplifted, giggly 
2170,pineapple diesel, energetic, relaxed, uplifted, happy, euphoric 
2171,pineapple dog shit, uplifted, happy, relaxed, creative, tingly 
2172,pineapple express, happy, uplifted, euphoric, relaxed, energetic 
2173,pineapple fields, happy, uplifted, euphoric, relaxed, talkative 
2174,pineapple haze, relaxed, happy, focused, uplifted, energetic 
2175,pineapple jack, happy, euphoric, uplifted, relaxed, hungry 
2176,pineapple kush, happy, relaxed, uplifted, euphoric, giggly 
2177,pineapple mayhem, happy, relaxed, uplifted ,,
2178,pineapple og, hungry, relaxed, uplifted, happy, energetic 
2179,pineapple punch, creative, uplifted, euphoric, happy, energetic 
2180,pineapple purple skunk, relaxed, happy, hungry, uplifted, euphoric 
2181,pineapple purps, uplifted, happy, focused, euphoric, relaxed 
2182,pineapple sage, uplifted, happy, creative, energetic, focused 
2183,pineapple skunk, relaxed, euphoric, uplifted, tingly, talkative 
2184,pineapple super silver haze, happy, uplifted, energetic, creative, focused 
2185,pineapple thai, focused, uplifted, creative, happy, talkative 
2186,pineapple trainwreck, relaxed, happy, uplifted, talkative, focused 
2187,pineapple upside down cake, happy, euphoric, relaxed, uplifted, energetic 
2188,pineapple zest, happy, hungry ,,,
2189,pineberry, relaxed, focused, uplifted, creative, energetic 
2190,pinewarp, creative, energetic, focused, aroused, happy 
2191,pink berry, relaxed, sleepy, euphoric, talkative, focused 
2192,pink bubba, happy, euphoric, giggly, uplifted, creative 
2193,pink champagne, relaxed, sleepy, euphoric, happy, uplifted 
2194,pink cookies, relaxed, happy, sleepy, uplifted, giggly 
2195,pink death star, relaxed, sleepy, uplifted, euphoric, hungry 
2196,pink hawaiian, uplifted, focused, relaxed, creative, happy 
2197,pink kush, relaxed, happy, sleepy, euphoric, uplifted 
2198,pink lemonade, happy, uplifted, relaxed, focused, euphoric 
2199,pink mango, uplifted, relaxed, happy, euphoric, energetic 
2200,pink panther, happy, uplifted, giggly, talkative, relaxed 
2201,pink panties, focused, uplifted, relaxed, happy, creative 
2202,pink pez, happy, euphoric, sleepy, uplifted, relaxed 
2203,pink starburst, uplifted, happy, energetic, euphoric, relaxed 
2204,pink sunset, euphoric, sleepy, relaxed, giggly, tingly 
2205,pinkman goo, focused, happy, uplifted, relaxed, euphoric 
2206,pinot green, focused, energetic, creative, euphoric, talkative 
2207,pitbull, relaxed, sleepy, euphoric, uplifted, happy 
2208,pia collision, relaxed, creative, energetic, sleepy, aroused 
2209,placenta, creative ,,,,
2210,platinum bubba kush, relaxed, happy, hungry, euphoric, sleepy 
2211,platinum calyx, relaxed, happy, talkative, euphoric, creative 
2212,platinum gsc, relaxed, happy, euphoric, uplifted, hungry 
2213,platinum huckleberry cookies, euphoric, creative, relaxed, happy, uplifted 
2214,platinum kush, relaxed, euphoric, happy, sleepy, uplifted 
2215,platinum og, relaxed, sleepy, happy, euphoric, hungry 
2216,pia collision, relaxed, creative, energetic, sleepy, aroused 
2217,placenta, creative ,,,,
2218,platinum bubba kush, relaxed, happy, hungry, euphoric, sleepy 
2219,platinum calyx, relaxed, happy, talkative, euphoric, creative 
2220,platinum gsc, relaxed, happy, euphoric, uplifted, hungry 
2221,platinum huckleberry cookies, euphoric, creative, relaxed, happy, uplifted 
2222,platinum kush, relaxed, euphoric, happy, sleepy, uplifted 
2223,platinum og, relaxed, sleepy, happy, euphoric, hungry 
2224,platinum purple kush, relaxed, happy, euphoric, sleepy, giggly 
2225,platinum sour diesel, happy, relaxed, uplifted, talkative, focused 
2226,platinum wreck, euphoric, giggly, tingly, happy, relaxed 
2227,plushberry, relaxed, sleepy, tingly, giggly, euphoric 
2228,pluto kush, euphoric, sleepy, relaxed, happy, hungry 
2229,poison haze, energetic, happy, uplifted, relaxed, tingly 
2230,pokie, relaxed, sleepy, happy, euphoric, focused 
2231,poochie love, energetic, uplifted, focused, creative, euphoric 
2232,pop rox, euphoric, uplifted, creative, happy, tingly 
2233,popcorn kush, relaxed, sleepy, happy, hungry, focused 
2234,pot of gold, relaxed, euphoric, uplifted, happy, sleepy 
2235,powderhound, energetic, euphoric, focused, happy, relaxed 
2236,power kush, relaxed, sleepy, euphoric, happy, hungry 
2237,power plant, happy, uplifted, relaxed, euphoric, talkative 
2238,pre 98 bubba kush, relaxed, happy, sleepy, euphoric, hungry 
2239,predator pink, happy, euphoric, uplifted, relaxed, focused 
2240,presidential og, relaxed, happy, euphoric, sleepy, tingly 
2241,prevention, creative, euphoric, happy, relaxed, focused 
2242,primus, happy, relaxed, uplifted, creative, tingly 
2243,princess, euphoric, relaxed, creative, happy, tingly 
2244,princesss tiara, energetic, happy, talkative, giggly, uplifted 
2245,professor chaos, uplifted, focused, energetic, euphoric, talkative 
2246,project blue book, happy, uplifted, euphoric, focused, creative 
2247,puna buddaz, uplifted, happy, euphoric, giggly, relaxed 
2248,puna budder, happy, uplifted, relaxed, euphoric, giggly 
2249,punky lion, relaxed, happy, euphoric, sleepy, uplifted 
2250,punto rojo tierra adentro, aroused, energetic, euphoric, giggly, happy 
2251,punxsy punch, relaxed, euphoric, happy, aroused, focused 
2252,pura vida, happy, euphoric, relaxed, sleepy, uplifted 
2253,pure afghan, relaxed, sleepy, hungry, uplifted, tingly 
2254,pure kush, relaxed, sleepy, euphoric, happy, tingly 
2255,pure love, relaxed, happy, uplifted, euphoric, hungry 
2256,pure og, relaxed, happy, sleepy, uplifted, euphoric 
2257,pure power plant, focused, happy, uplifted, creative, relaxed 
2258,purple ak 47, happy, focused, giggly, relaxed, sleepy 
2259,purple afghani, relaxed, sleepy, happy, hungry, euphoric 
2260,purple alien og, euphoric, happy, giggly, hungry, focused 
2261,purple arrow, relaxed, focused, uplifted, euphoric, happy 
2262,purple aurora, focused, relaxed, happy, euphoric, aroused 
2263,purple berry, relaxed, happy, euphoric, hungry, focused 
2264,purple ak 47, happy, focused, giggly, relaxed, sleepy 
2265,purple afghani, relaxed, sleepy, happy, hungry, euphoric 
2266,purple alien og, euphoric, happy, giggly, hungry, focused 
2267,purple arrow, relaxed, focused, uplifted, euphoric, happy 
2268,purple aurora, focused, relaxed, happy, euphoric, aroused 
2269,purple berry, relaxed, happy, euphoric, hungry, focused 
2270,purple bubba, happy, euphoric, hungry, relaxed, talkative 
2271,purple bud, sleepy, euphoric, giggly, happy, relaxed 
2272,purple buddha, relaxed, happy, euphoric, sleepy, giggly 
2273,purple bush, relaxed, creative, sleepy, euphoric, uplifted 
2274,purple candy, happy, sleepy, relaxed, euphoric, uplifted 
2275,purple champagne, hungry, euphoric, tingly, relaxed, happy 
2276,purple cheddar, uplifted, relaxed, happy, euphoric, sleepy 
2277,purple cheese, happy, euphoric, sleepy, relaxed, uplifted 
2278,purple chemdawg, relaxed, euphoric, sleepy, happy, creative 
2279,purple cotton candy, relaxed, happy, sleepy, uplifted, euphoric 
2280,purple cow, focused, relaxed, euphoric, uplifted ,
2281,purple crack, happy, relaxed, aroused, uplifted, sleepy 
2282,purple cream, relaxed, sleepy, happy, euphoric, tingly 
2283,purple diesel, happy, uplifted, relaxed, euphoric, energetic 
2284,purple dog shit, happy, euphoric, energetic, focused, relaxed 
2285,purple dragon, euphoric, uplifted, happy, relaxed, creative 
2286,purple dream, relaxed, happy, euphoric, focused, creative 
2287,purple elephant, relaxed, happy, focused, sleepy, uplifted 
2288,purple frost, sleepy, relaxed, talkative, happy, uplifted 
2289,purple glue, relaxed, euphoric, uplifted, sleepy, happy 
2290,purple goat, happy, relaxed, hungry, sleepy, uplifted 
2291,purple goo, relaxed, uplifted, sleepy, hungry, euphoric 
2292,purple gorilla, happy, relaxed, euphoric, hungry, uplifted 
2293,purple happy rancher, relaxed, euphoric, happy, sleepy, uplifted 
2294,purple hashplant, euphoric, happy, uplifted, relaxed, focused 
2295,purple haze, happy, euphoric, uplifted, energetic, relaxed 
2296,purple headband, uplifted, relaxed, talkative, sleepy, happy 
2297,purple hindu kush, relaxed, sleepy, euphoric, hungry, uplifted 
2298,purple ice, euphoric, happy, uplifted, hungry, energetic 
2299,purple jack, relaxed, euphoric, uplifted, energetic, creative 
2300,purple killer, hungry, relaxed, sleepy, euphoric, happy 
2301,purple kush, relaxed, happy, sleepy, euphoric, hungry 
2302,purple linda, relaxed, sleepy ,,,
2303,purple martian kush, relaxed, euphoric, sleepy, happy, giggly 
2304,purple maui, happy, uplifted, relaxed, tingly, talkative 
2305,purple monkey balls, relaxed, sleepy, happy, giggly, hungry 
2306,purple mr nice, relaxed, sleepy, euphoric, happy, uplifted 
2307,purple nepal, euphoric, relaxed, happy, hungry, creative 
2308,purple og kush, relaxed, happy, euphoric, sleepy, hungry 
2309,purple pantera, euphoric, relaxed, sleepy ,,
2310,purple panty dropper, euphoric, relaxed, sleepy, hungry, uplifted 
2311,purple paralysis, relaxed, happy, sleepy, hungry, uplifted 
2312,purple passion, sleepy, relaxed, happy, euphoric, uplifted 
