,strain,negative_1,negative_2,negative_3,negative_4,negative_5
2760,walker kush, dry mouth, dry eyes, dizzy, anxious, headache 
2761,wally og, dry mouth, dry eyes, headache ,,
2762,walrus kush, dry mouth, headache ,,,
2763,walter white, dry mouth, dry eyes, anxious, dizzy ,
2764,wappa, dry mouth, dry eyes, paranoid, anxious, dizzy 
2765,warlock, dry eyes, paranoid, anxious, dry mouth, dizzy 
2766,washing machine, dry eyes, dry mouth ,,,
2767,watermelon, dry mouth, dry eyes, anxious, dizzy, paranoid 
2768,webster, anxious, dry eyes ,,,
2769,wedding cake, dry mouth, dry eyes, dizzy, anxious, paranoid 
2770,wedding crasher, dry mouth, dizzy, dry eyes, headache, paranoid 
2771,weebes world, dizzy, dry eyes, headache, paranoid ,
2772,wellness og, dry mouth, anxious, dizzy, dry eyes, paranoid 
2773,west coast dawg, dry mouth, dry eyes ,,,
2774,west og, dizzy, dry mouth, paranoid ,,
2775,webster, anxious, dry eyes ,,,
2776,wedding cake, dry mouth, dry eyes, dizzy, anxious, paranoid 
2777,wedding crasher, dry mouth, dizzy, dry eyes, headache, paranoid 
2778,weebes world, dizzy, dry eyes, headache, paranoid ,
2779,wellness og, dry mouth, anxious, dizzy, dry eyes, paranoid 
2780,west coast dawg, dry mouth, dry eyes ,,,
2781,west og, dizzy, dry mouth, paranoid ,,
2782,wet dream, anxious, dry mouth, dry eyes, headache, dizzy 
2783,wheres my bike, dry eyes, dry mouth, headache, paranoid, anxious 
2784,whitaker blues, dry mouth, dry eyes ,,,
2785,white 99, dry mouth, dry eyes, anxious, dizzy, paranoid 
2786,white berry, dry mouth, dry eyes, dizzy, paranoid, anxious 
2787,white bubblegum, dry mouth ,,,,
2788,white buffalo, dry mouth, anxious, paranoid, dizzy, dry eyes 
2789,white caramel cookies, dry mouth ,,,,
2790,white castle, dry eyes ,,,,
2791,white cheese, dry mouth, dry eyes ,,,
2792,white cherry truffle, dry mouth ,,,,
2793,white choco, dry eyes, dry mouth ,,,
2794,white chocolate, dry eyes, dry mouth ,,,
2795,white cookies, dry mouth, headache, dizzy, dry eyes, anxious 
2796,white dawg, anxious, dry mouth, paranoid, dry eyes, dizzy 
2797,white dawg fire og, anxious ,,,,
2798,white diesel, dry mouth, dry eyes, dizzy, anxious, headache 
2799,white domina, dry eyes, dry mouth ,,,
2800,white dragon, dry mouth, dizzy, dry eyes, anxious, paranoid 
2801,white dream, dry mouth, anxious, dry eyes, dizzy, headache 
2802,white durban, dry eyes, dry mouth, paranoid, anxious, headache 
2803,white elephant, dry mouth, dizzy ,,,
2804,white empress, dry mouth, anxious, dry eyes ,,
2805,white fire 43, dry eyes, headache, paranoid, dry mouth, dizzy 
2806,white fire alien og, dry mouth, dry eyes, headache, dizzy, paranoid 
2807,white girl, dry eyes, dry mouth ,,,
2808,white gold, dry mouth, dry eyes, dizzy, headache, paranoid 
2809,white gorilla, dry mouth, dry eyes, dizzy, paranoid, anxious 
2810,white harmony, dry mouth, anxious, paranoid ,,
2811,white haze, dry mouth, dizzy, dry eyes, headache ,
2812,white ice, dizzy, dry mouth, dry eyes ,,
2813,white knight, dry eyes, dry mouth ,,,
2814,white kryptonite, dry mouth, dry eyes ,,,
2815,white kush, paranoid, dry mouth, dry eyes, dizzy, anxious 
2816,white lsd, dry eyes, dry mouth ,,,
2817,white lavender, dry eyes, dry mouth, headache, anxious, dizzy 
2818,white lemon, anxious, dry eyes, dry mouth ,,
2819,white lightning, dry mouth, dizzy, dry eyes, headache, paranoid 
2820,white lotus, dry mouth, anxious, dry eyes ,,
2821,white nightmare, dry mouth, dry eyes, anxious, paranoid, dizzy 
2822,white og, dry mouth, dry eyes, headache, dizzy, paranoid 
2823,white queen, dry eyes, dry mouth, paranoid, anxious, headache 
2824,white rhino, dry mouth, dry eyes, dizzy, paranoid, anxious 
2825,white lightning, dry mouth, dizzy, dry eyes, headache, paranoid 
2826,white lotus, dry mouth, anxious, dry eyes ,,
2827,white nightmare, dry mouth, dry eyes, anxious, paranoid, dizzy 
2828,white og, dry mouth, dry eyes, headache, dizzy, paranoid 
2829,white queen, dry eyes, dry mouth, paranoid, anxious, headache 
2830,white rhino, dry mouth, dry eyes, dizzy, paranoid, anxious 
2831,white romulan, dry mouth, dry eyes, headache, anxious, dizzy 
2832,white russian, dry mouth, dizzy, paranoid, dry eyes, anxious 
2833,white sangria, dry mouth, paranoid, anxious, dizzy, dry eyes 
2834,white siberian, dry mouth, dry eyes, anxious, paranoid, dizzy 
2835,white skunk, dry eyes, dry mouth, dizzy, headache, anxious 
2836,white slipper, anxious, dry eyes, dry mouth, dizzy ,
2837,white strawberry, headache, anxious, dry mouth, paranoid ,
2838,white tahoe cookies, dry mouth, headache, dry eyes, anxious, dizzy 
2839,white tygh dream, dry mouth ,,,,
2840,white urkle, dry mouth, paranoid, dry eyes, anxious, dizzy 
2841,white walker kush, dry mouth, dizzy, dry eyes, headache, paranoid 
2842,white walrus, dry eyes, dry mouth, paranoid ,,
2843,white widow, dry mouth, dry eyes, paranoid, anxious, dizzy 
2844,white zombie, dizzy, dry eyes, dry mouth, paranoid, anxious 
2845,whiteout, dry eyes, dry mouth ,,,
2846,whitewalker og, paranoid, dry mouth, anxious, dry eyes, headache 
2847,wild thailand, headache, dry mouth, paranoid, dizzy, anxious 
2848,willie nelson, dizzy, dry mouth, dry eyes, paranoid, headache 
2849,willies ghost, dry mouth ,,,,
2850,willy wonka, dry mouth, dry eyes, anxious, headache, dizzy 
2851,willys wonder, dry mouth, dry eyes, dizzy, paranoid, headache 
2852,wolfberry, dizzy ,,,,
2853,wonder haze, dry mouth, dry eyes, dizzy ,,
2854,wonder kid, headache, paranoid ,,,
2855,wonder woman, dry mouth, dry eyes, headache, anxious, dizzy 
2856,wonderwoman og, dry mouth, dry eyes, paranoid, headache ,
2857,wonka s bubbilicious, anxious, dry mouth, dizzy, dry eyes, headache 
2858,woody kush, dry mouth, dry eyes, dizzy, headache, paranoid 
2859,wookie, dry mouth, dry eyes, headache ,,
2860,wookies, dry mouth, dry eyes, headache, anxious, dizzy 
2861,wreckage, dry mouth, headache ,,,
2862,x file, dry mouth ,,,,
2863,x files, dizzy, dry eyes ,,,
2864,x wing, dry mouth ,,,,
2865,x tra chz, dizzy, dry mouth, headache ,,
2866,xj 13, dry mouth, dry eyes, dizzy, anxious, paranoid 
2867,xxx 420, dry mouth, dry eyes, paranoid ,,
2868,xxx og, dry mouth, anxious, paranoid, dry eyes, dizzy 
2869,x files, dizzy, dry eyes ,,,
2870,x wing, dry mouth ,,,,
2871,x tra chz, dizzy, dry mouth, headache ,,
2872,xj 13, dry mouth, dry eyes, dizzy, anxious, paranoid 
2873,xxx 420, dry mouth, dry eyes, paranoid ,,
2874,xxx og, dry mouth, anxious, paranoid, dry eyes, dizzy 
2875,y griega, dry mouth, paranoid, anxious, dry eyes, headache 
2876,yeti og, dry mouth, dry eyes, dizzy, anxious ,
2877,yoda og, dry mouth, dry eyes, paranoid, dizzy, headache 
2878,yodas brain, dry mouth, dry eyes ,,,
2879,yogi diesel, dry mouth, anxious, dizzy ,,
2880,yolo berry, dizzy, dry eyes, dry mouth, headache, paranoid 
2881,yumboldt, dry eyes, dry mouth, dizzy, headache, paranoid 
2882,yummy, dry mouth, dry eyes, anxious, dizzy, headache 
2883,zamaldelica, dizzy, dry eyes, dry mouth, paranoid ,
2884,zelda, dry eyes, dry mouth ,,,
2885,zellys gift, dry mouth, dry eyes, dizzy ,,
2886,zen, dry mouth, dry eyes, anxious, dizzy, headache 
2887,zerculese, anxious, dizzy, dry eyes, dry mouth, headache 
2888,zeta sage, dizzy, dry mouth, dry eyes, anxious, headache 
2889,zeus og, dry mouth, dry eyes, headache, dizzy, paranoid 
2890,zkittlez, dry mouth, dry eyes, headache, dizzy, paranoid 
2891,zombie kush, dry eyes, dry mouth, dizzy, headache ,
2892,zombie og, dry mouth, dizzy, headache, anxious, dry eyes 
2893,alenuihaha, anxious, dizzy, dry mouth, paranoid ,
