,strain,medical_1,medical_2,medical_3,medical_4,medical_5
2762,the real mccoy, headaches, muscle spasms, pain, eye pressure, cramps 
2763,the sauce, stress, depression, headaches, fatigue, insomnia 
2764,the sheriff, eye pressure ,,,,
2765,the sister, depression, pain, headaches, lack of appetite, nausea 
2766,the third dimension, depression, stress, fatigue, pain, muscle spasms 
2767,the truth, depression, pain, stress, nausea, lack of appetite 
2768,the vision, pain, depression, inflammation, insomnia, muscle spasms 
2769,the void, stress, depression, pain, fatigue, insomnia 
2770,the white angel, insomnia, muscle spasms, depression, stress, lack of appetite 
2771,the wife, stress, headaches, pain, inflammation, muscle spasms 
2772,the wills, headaches ,,,,
2773,thelonious skunk, depression, pain, inflammation, muscle spasms, stress 
2774,think different, stress, pain, eye pressure, headaches, muscle spasms 
2775,thors hammer, stress, depression, pain, fatigue, nausea 
2776,three blue kings, depression, insomnia, headaches, lack of appetite, muscle spasms 
2777,thunderbird rose, stress, depression, pain, lack of appetite, nausea 
2778,thunderstruck, stress, pain, depression, fatigue, muscle spasms 
2779,tickle kush, stress, depression, fatigue, pain ,
2780,tiger woods, nausea, stress, depression, eye pressure, lack of appetite 
2781,tigers milk, insomnia, pain, stress, depression, headaches 
2782,tigermelon, depression, stress ,,,
2783,tillamook strawberry, insomnia, depression, stress, pain, lack of appetite 
2784,timewreck, depression, fatigue, lack of appetite, stress, insomnia 
2785,tina, stress, inflammation, cramps, insomnia, pain 
2786,tina danza, pain, cramps, stress, depression, nausea 
2787,titans haze, cramps, depression, inflammation, pain ,
2788,tokyo og, stress, pain, lack of appetite, headaches, nausea 
2789,tommys home grown, stress, depression, lack of appetite ,,
2790,tora bora, pain, stress, insomnia, muscle spasms, inflammation 
2791,toxic, insomnia, stress, fatigue, depression, lack of appetite 
2792,toxic punch, stress, depression, insomnia, lack of appetite, pain 
2793,training day, insomnia, pain, headaches, depression, stress 
2794,trainwreck, stress, depression, pain, lack of appetite, fatigue 
2795,tranquil elephantizer remix, pain, insomnia, stress, depression, cramps 
2796,transformer, eye pressure ,,,,
2797,trap star, pain, stress, muscle spasms, depression, insomnia 
2798,trash, stress, depression, fatigue, inflammation, pain 
2799,toxic, insomnia, stress, fatigue, depression, lack of appetite 
2800,toxic punch, stress, depression, insomnia, lack of appetite, pain 
2801,training day, insomnia, pain, headaches, depression, stress 
2802,trainwreck, stress, depression, pain, lack of appetite, fatigue 
2803,tranquil elephantizer remix, pain, insomnia, stress, depression, cramps 
2804,transformer, eye pressure ,,,,
2805,trap star, pain, stress, muscle spasms, depression, insomnia 
2806,trash, stress, depression, fatigue, inflammation, pain 
2807,travel joint, fatigue, stress, headaches, insomnia, depression 
2808,treasure island, pain, depression, stress, muscle spasms, insomnia 
2809,tree of life, stress, pain, nausea, depression, spasticity 
2810,tres dawg, stress, pain, depression, insomnia, lack of appetite 
2811,triangle kush, stress, pain, depression, insomnia, inflammation 
2812,trident, pain, stress, inflammation, depression, muscle spasms 
2813,trifecta, insomnia, pain, nausea, stress, depression 
2814,trinity, stress, depression, fatigue, pain, eye pressure 
2815,triple cheese, stress, depression, eye pressure, pain, lack of appetite 
2816,triple diesel, depression, stress, pain, fatigue, muscle spasms 
2817,trix, stress, insomnia, pain, depression, fatigue 
2818,tropic thunder, stress, pain, lack of appetite, nausea, depression 
2819,tropical tang, stress, depression, pain, headaches, fatigue 
2820,tropicali, pain, stress, depression, eye pressure, headaches 
2821,tropicana cookies, pain, stress, depression, fatigue, seizures 
2822,tropicana punch, depression, eye pressure, fatigue, headaches, insomnia 
2823,true face, nausea, insomnia, pain, stress, muscle spasms 
2824,true og, stress, pain, insomnia, depression, inflammation 
2825,true x, stress, depression, fatigue, insomnia, eye pressure 
2826,trueberry, muscle spasms, pain, depression, stress, lack of appetite 
2827,truffle butter, pain, stress, insomnia, depression, fatigue 
2828,truth serum, lack of appetite, stress ,,,
2829,tuna kush, stress, insomnia, nausea, depression, fatigue 
2830,tuna og, eye pressure, muscle spasms ,,,
2831,turbo mind warp, depression, headaches, pain, fatigue, stress 
2832,tutankhamon, stress, depression, fatigue, muscle spasms, pain 
2833,tutti frutti, stress, depression, pain, fatigue, nausea 
2834,twista, depression, stress, headaches, lack of appetite, eye pressure 
2835,twisted citrus, stress, depression, fatigue, lack of appetite, muscle spasms 
2836,two beards, depression, insomnia, nausea, pain, stress 
2837,tyson, stress, insomnia, pain, lack of appetite, muscle spasms 
2838,u2 kush, insomnia, stress, pain, depression, nausea 
2839,uk cheese, depression, pain, stress, fatigue, lack of appetite 
2840,uw, stress, pain, depression, inflammation, insomnia 
2841,ultimate trainwreck, stress, pain, nausea, depression, headaches 
2842,ultra banana, depression, insomnia, pain, stress ,
2843,ultra sonja, fatigue, headaches, stress, depression, pain 
2844,ultra sour, stress, pain, depression, nausea, headaches 
2845,ultraviolet og, stress, depression, lack of appetite, pain, insomnia 
2846,urkle train haze, depression, pain, headaches, cramps, stress 
2847,vcdc, pain, stress, fatigue, inflammation, nausea 
2848,az super sour og, pain, stress, depression, lack of appetite, insomnia 
2849,vader og, stress, pain, fatigue, depression, insomnia 
2850,ultra banana, depression, insomnia, pain, stress ,
2851,ultra sonja, fatigue, headaches, stress, depression, pain 
2852,ultra sour, stress, pain, depression, nausea, headaches 
2853,ultraviolet og, stress, depression, lack of appetite, pain, insomnia 
2854,urkle train haze, depression, pain, headaches, cramps, stress 
2855,vcdc, pain, stress, fatigue, inflammation, nausea 
2856,az super sour og, pain, stress, depression, lack of appetite, insomnia 
2857,vader og, stress, pain, fatigue, depression, insomnia 
2858,valentine x, stress, pain, inflammation, fatigue, headaches 
2859,valley ghash, insomnia, stress, pain, depression, lack of appetite 
2860,valley girl, stress, depression, insomnia, pain, lack of appetite 
2861,vanilla frosting, depression, pain, stress ,,
2862,vanilla gorilla, pain, depression, insomnia, stress ,
2863,vanilla kush, stress, pain, insomnia, depression, lack of appetite 
2864,vanilluna, pain, eye pressure, headaches, stress, inflammation 
2865,velvet bud, depression, stress, fatigue, lack of appetite, cramps 
2866,venice og, stress, depression, pain, fatigue, headaches 
2867,venom og, stress, insomnia, pain, depression, inflammation 
2868,venus og, depression, stress, headaches, inflammation, nausea 
2869,verde electric, pain, stress, depression, inflammation, muscle spasms 
2870,versace, stress, pain, depression, muscle spasms, insomnia 
2871,very berry haze, pain, depression, headaches, fatigue, nausea 
2872,very cherry, depression, fatigue, nausea, pain ,
2873,violator kush, stress, depression, pain, headaches, nausea 
2874,violet delight, stress, depression, lack of appetite, insomnia, pain 
2875,violeta, depression, stress, headaches, inflammation, insomnia 
2876,viper, fatigue, stress, lack of appetite, depression, pain 
2877,voodoo, depression, stress, pain, fatigue, muscle spasms 
2878,vortex, stress, pain, depression, fatigue, headaches 
2879,wmd, stress, pain, depression, insomnia, lack of appetite 
2880,wsu, stress, pain, insomnia, lack of appetite, depression 
2881,wtf, pain, depression, stress, inflammation, insomnia 
2882,wabanaki, fatigue, stress, depression, pain, lack of appetite 
2883,waipi o hapa, pain, stress, depression, fatigue ,
2884,wakanda og, depression, pain, stress, insomnia, cramps 
2885,waldo, nausea, pain, depression, eye pressure, lack of appetite 
2886,walker kush, stress, insomnia, lack of appetite, depression, fatigue 
2887,wally og, headaches, pain, insomnia, stress, cramps 
2888,walrus kush, nausea, pain, stress, depression, insomnia 
2889,walter white, stress, depression, nausea, pain, lack of appetite 
2890,wappa, nausea, depression, pain, stress, lack of appetite 
2891,warlock, pain, depression, insomnia, stress, inflammation 
2892,washing machine, stress, pain, headaches, insomnia, fatigue 
2893,watermelon, depression, insomnia, stress, pain, fatigue 
2894,webster, depression, fatigue, stress, pain, eye pressure 
2895,wedding cake, stress, depression, pain, lack of appetite, insomnia 
2896,wedding crasher, stress, depression, nausea, fatigue, inflammation 
2897,weebes world, eye pressure, headaches, lack of appetite ,,
2898,wellness og, depression, pain, stress, fatigue, insomnia 
2899,wembley, depression, eye pressure, fatigue, headaches, inflammation 
2900,west coast dawg, pain, stress, depression, headaches, insomnia 
2901,west og, eye pressure ,,,,
2902,webster, depression, fatigue, stress, pain, eye pressure 
2903,wedding cake, stress, depression, pain, lack of appetite, insomnia 
2904,wedding crasher, stress, depression, nausea, fatigue, inflammation 
2905,weebes world, eye pressure, headaches, lack of appetite ,,
2906,wellness og, depression, pain, stress, fatigue, insomnia 
2907,wembley, depression, eye pressure, fatigue, headaches, inflammation 
2908,west coast dawg, pain, stress, depression, headaches, insomnia 
2909,west og, eye pressure ,,,,
2910,wet dream, stress, depression, lack of appetite, fatigue, pain 
2911,wheres my bike, depression, stress, eye pressure, fatigue, headaches 
2912,whitaker blues, stress, insomnia, depression, pain, fatigue 
2913,white 99, stress, depression, lack of appetite, fatigue, insomnia 
2914,white bastard, muscle spasms, pain, cramps, inflammation, spasticity 
2915,white berry, stress, pain, depression, lack of appetite, fatigue 
2916,white bubblegum, depression, headaches, insomnia, stress ,
2917,white buffalo, stress, depression, fatigue, pain, inflammation 
2918,white caramel cookies, pain, muscle spasms, depression, stress, lack of appetite 
2919,white castle, fatigue, insomnia, pain, stress, depression 
2920,white cheese, insomnia, stress, depression, headaches, inflammation 
2921,white cherry truffle, stress, headaches, depression, pain, inflammation 
2922,white choco, stress, depression, insomnia, lack of appetite, headaches 
2923,white chocolate, depression, stress ,,,
2924,white cookies, stress, depression, nausea, pain, insomnia 
2925,white dawg, pain, stress, depression, lack of appetite, headaches 
2926,white dawg fire og, insomnia, stress, nausea, depression, headaches 
2927,white diesel, stress, depression, insomnia, pain, lack of appetite 
2928,white domina, depression, pain, stress, insomnia, muscle spasms 
2929,white dragon, pain, stress, insomnia, depression, headaches 
2930,white dream, depression, stress, pain, inflammation, headaches 
2931,white durban, fatigue, stress, depression, pain, inflammation 
2932,white elephant, stress, depression, headaches, eye pressure, lack of appetite 
2933,white empress, depression, fatigue, stress ,,
2934,white fire 43, insomnia, pain, stress, depression, lack of appetite 
2935,white fire alien og, pain, depression, fatigue, cramps, lack of appetite 
2936,white girl, insomnia, lack of appetite, pain, inflammation, muscle spasms 
2937,white gold, stress, depression, insomnia, lack of appetite, pain 
2938,white gorilla, stress, pain, eye pressure, insomnia, depression 
2939,white harmony, stress, depression, headaches, pain, eye pressure 
2940,white haze, muscle spasms, stress, headaches, depression, fatigue 
2941,white ice, stress, depression, insomnia ,,
2942,white knight, stress, nausea, pain, depression, insomnia 
2943,white kryptonite, insomnia, stress, depression, headaches, pain 
2944,white kush, insomnia, depression, stress, pain, lack of appetite 
2945,white lsd, depression, fatigue, pain, stress, nausea 
2946,white lavender, stress, depression, inflammation, lack of appetite, headaches 
2947,white lemon, depression, fatigue, lack of appetite, nausea, pain 
2948,white lightning, stress, pain, depression, insomnia, fatigue 
2949,white lotus, pain, stress, depression, fatigue, cramps 
2950,white moonshine, cramps, fatigue, headaches ,,
2951,white nightmare, depression, muscle spasms, stress, pain, inflammation 
2952,white og, stress, pain, fatigue, insomnia, depression 
2953,white queen, stress, pain, insomnia, depression, headaches 
2954,white rhino, stress, pain, insomnia, depression, lack of appetite 
2955,white lightning, stress, pain, depression, insomnia, fatigue 
2956,white lotus, pain, stress, depression, fatigue, cramps 
2957,white moonshine, cramps, fatigue, headaches ,,
2958,white nightmare, depression, muscle spasms, stress, pain, inflammation 
