,strain,flavor_1,flavor_2,flavor_3
2781,the blood, 1. earthy, 2. sweet, 3. pungent 
2782,the brotherhood, 1. earthy, 2. flowery, 3. lemon 
2783,the cough, 1. pungent, 2. earthy, 3. diesel 
2784,the doctor, 1. earthy, 2. pungent, 3. sweet 
2785,the flav, 1. pine, 2. woody, 3. earthy 
2786,the fuzz, 1. earthy ,,
2787,the gift, 1. citrus, 2. pineapple, 3. tree fruit 
2788,the grunk, 1. grape, 2. skunk, 3. pungent 
2789,the guice, 1. citrus, 2. orange, 3. sweet 
2790,the doctor, 1. earthy, 2. pungent, 3. sweet 
2791,the flav, 1. pine, 2. woody, 3. earthy 
2792,the fuzz, 1. earthy ,,
2793,the gift, 1. citrus, 2. pineapple, 3. tree fruit 
2794,the grunk, 1. grape, 2. skunk, 3. pungent 
2795,the guice, 1. citrus, 2. orange, 3. sweet 
2796,hog, 1. earthy, 2. pungent, 3. woody 
2797,the lime, 1. citrus, 2. lemon, 3. lime 
2798,the loops, 1. berry, 2. grape, 3. sweet 
2799,the ox, 1. earthy, 2. coffee, 3. berry 
2800,the one, 1. sweet, 2. pine, 3. pungent 
2801,the ooze, 1. apple, 2. spicy/herbal, 3. sweet 
2802,the original lemonnade, 1. citrus, 2. lemon, 3. tree fruit 
2803,the real mccoy, 1. berry, 2. citrus, 3. pungent 
2804,the sauce, 1. earthy, 2. lime, 3. citrus 
2805,the sheriff, 1. earthy, 2. woody ,
2806,the sister, 1. sweet, 2. citrus, 3. diesel 
2807,the third dimension, 1. citrus, 2. lemon, 3. sweet 
2808,the truth, 1. earthy, 2. citrus, 3. woody 
2809,the vision, 1. citrus, 2. earthy, 3. spicy/herbal 
2810,the void, 1. earthy, 2. sweet, 3. skunk 
2811,the white angel, 1. pepper, 2. pungent, 3. citrus 
2812,the wife, 1. tea, 2. flowery, 3. earthy 
2813,the wills, 1. pine, 2. pungent, 3. woody 
2814,thelonious skunk, 1. citrus, 2. earthy, 3. skunk 
2815,think different, 1. spicy/herbal, 2. orange, 3. menthol 
2816,thors hammer, 1. sweet, 2. sage, 3. pungent 
2817,three blue kings, 1. berry, 2. blueberry, 3. diesel 
2818,throwback kush, 1. earthy, 2. woody ,
2819,thunderbird rose, 1. rose, 2. berry, 3. woody 
2820,thunderstruck, 1. earthy, 2. spicy/herbal, 3. sweet 
2821,tickle kush, 1. apple, 2. berry, 3. apricot 
2822,tiger woods, 1. sweet, 2. flowery, 3. pungent 
2823,tigers milk, 1. earthy, 2. spicy/herbal, 3. woody 
2824,tigermelon, 1. chestnut, 2. citrus, 3. spicy/herbal 
2825,tillamook strawberry, 1. strawberry, 2. earthy, 3. sweet 
2826,timewreck, 1. woody, 2. earthy, 3. citrus 
2827,tina, 1. pungent, 2. tar, 3. diesel 
2828,tina danza, 1. nutty, 2. earthy, 3. citrus 
2829,titans haze, 1. pungent, 2. skunk, 3. spicy/herbal 
2830,tokyo og, 1. pine, 2. lemon, 3. sweet 
2831,tommys home grown, 1. earthy, 2. nutty, 3. spicy/herbal 
2832,tora bora, 1. woody, 2. diesel, 3. earthy 
2833,toxic, 1. earthy, 2. flowery, 3. pungent 
2834,toxic punch, 1. berry, 2. pine, 3. lemon 
2835,training day, 1. earthy, 2. woody, 3. pine 
2836,trainwreck, 1. earthy, 2. lemon, 3. pine 
2837,tranquil elephantizer remix, 1. earthy, 2. sweet, 3. berry 
2838,trap star, 1. earthy, 2. pine, 3. spicy/herbal 
2839,trash, 1. chemical, 2. mint, 3. spicy/herbal 
2840,toxic, 1. earthy, 2. flowery, 3. pungent 
2841,toxic punch, 1. berry, 2. pine, 3. lemon 
2842,training day, 1. earthy, 2. woody, 3. pine 
2843,trainwreck, 1. earthy, 2. lemon, 3. pine 
2844,tranquil elephantizer remix, 1. earthy, 2. sweet, 3. berry 
2845,trap star, 1. earthy, 2. pine, 3. spicy/herbal 
2846,trash, 1. chemical, 2. mint, 3. spicy/herbal 
2847,travel joint, 1. earthy, 2. lime, 3. lemon 
2848,treasure island, 1. spicy/herbal, 2. earthy, 3. pine 
2849,tree of life, 1. earthy, 2. woody, 3. spicy/herbal 
2850,tres dawg, 1. diesel, 2. earthy, 3. pine 
2851,triangle kush, 1. earthy, 2. pungent, 3. sweet 
2852,trident, 1. citrus, 2. woody, 3. pine 
2853,trifecta, 1. skunk ,,
2854,trinity, 1. sweet, 2. pungent, 3. earthy 
2855,triple cheese, 1. cheese, 2. berry, 3. blue cheese 
2856,triple diesel, 1. diesel, 2. sweet, 3. earthy 
2857,trix, 1. strawberry, 2. rose, 3. sweet 
2858,tropic thunder, 1. pineapple, 2. tropical, 3. mango 
2859,tropical tang, 1. citrus, 2. apricot, 3. skunk 
2860,tropicali, 1. pineapple, 2. tropical, 3. sweet 
2861,tropicana cookies, 1. citrus, 2. orange, 3. tropical 
2862,tropicana punch, 1. berry, 2. blueberry, 3. cheese 
2863,true face, 1. diesel, 2. earthy, 3. pungent 
2864,true og, 1. earthy, 2. pine, 3. citrus 
2865,true x, 1. earthy, 2. nutty, 3. pine 
2866,trueberry, 1. citrus, 2. berry, 3. lime 
2867,truffle butter, 1. butter, 2. flowery, 3. chestnut 
2868,truffula tree, 1. sweet ,,
2869,truth serum, 1. spicy/herbal, 2. citrus, 3. earthy 
2870,tuna kush, 1. earthy, 2. pungent, 3. woody 
2871,turbo mind warp, 1. earthy, 2. flowery, 3. diesel 
2872,tutankhamon, 1. skunk, 2. citrus, 3. flowery 
2873,tutti frutti, 1. tropical, 2. mango, 3. sweet 
2874,twista, 1. sweet, 2. flowery, 3. sage 
2875,twisted citrus, 1. citrus, 2. orange, 3. tropical 
2876,tyson, 1. diesel, 2. earthy, 3. woody 
2877,u2 kush, 1. lavender, 2. sweet, 3. skunk 
2878,uk cheese, 1. cheese, 2. skunk, 3. earthy 
2879,uw, 1. berry, 2. grape, 3. flowery 
2880,ultimate trainwreck, 1. tropical, 2. mint, 3. coffee 
2881,ultra banana, 1. pine, 2. spicy/herbal, 3. ammonia 
2882,ultra sonja, 1. cheese, 2. tree fruit, 3. earthy 
2883,ultra sour, 1. lemon, 2. pine, 3. diesel 
2884,ultraviolet og, 1. violet, 2. flowery, 3. citrus 
2885,urkle train haze, 1. diesel, 2. skunk, 3. sweet 
2886,vcdc, 1. berry, 2. earthy, 3. citrus 
2887,az super sour og, 1. earthy, 2. pungent, 3. diesel 
2888,vader og, 1. flowery, 2. earthy, 3. sweet 
2889,ultra banana, 1. pine, 2. spicy/herbal, 3. ammonia 
2890,ultra sonja, 1. cheese, 2. tree fruit, 3. earthy 
2891,ultra sour, 1. lemon, 2. pine, 3. diesel 
2892,ultraviolet og, 1. violet, 2. flowery, 3. citrus 
2893,urkle train haze, 1. diesel, 2. skunk, 3. sweet 
2894,vcdc, 1. berry, 2. earthy, 3. citrus 
2895,az super sour og, 1. earthy, 2. pungent, 3. diesel 
2896,vader og, 1. flowery, 2. earthy, 3. sweet 
2897,valentine x, 1. earthy, 2. citrus, 3. pine 
2898,valley ghash, 1. skunk, 2. sweet, 3. woody 
2899,valley girl, 1. pine, 2. sweet, 3. lemon 
2900,vanilla frosting, 1. vanilla, 2. butter, 3. chemical 
2901,vanilla gorilla, 1. diesel, 2. pungent, 3. vanilla 
2902,vanilla kush, 1. vanilla, 2. sweet, 3. lavender 
2903,vanilluna, 1. blueberry, 2. honey, 3. lavender 
2904,velvet bud, 1. sweet, 2. blueberry, 3. menthol 
2905,velvet purps, 1. lavender, 2. earthy, 3. berry 
2906,venice og, 1. pine, 2. citrus, 3. pungent 
2907,venom og, 1. pine, 2. earthy, 3. diesel 
2908,venus og, 1. citrus, 2. berry, 3. lemon 
2909,verde electric, 1. earthy, 2. pungent, 3. sweet 
2910,versace, 1. flowery, 2. earthy, 3. sweet 
2911,very berry haze, 1. berry, 2. blueberry, 3. citrus 
2912,very cherry, 1. berry, 2. flowery, 3. lemon 
2913,violator kush, 1. earthy, 2. pungent, 3. woody 
2914,violet delight, 1. sweet, 2. berry, 3. strawberry 
2915,violeta, 1. earthy, 2. chemical, 3. citrus 
2916,viper, 1. sweet, 2. citrus, 3. flowery 
2917,voodoo, 1. tropical, 2. pungent, 3. nutty 
2918,vortex, 1. citrus, 2. sweet, 3. earthy 
2919,wmd, 1. berry, 2. sweet, 3. earthy 
2920,wsu, 1. pine, 2. earthy, 3. berry 
2921,wtf, 1. earthy, 2. pungent, 3. citrus 
2922,wabanaki, 1. earthy, 2. pungent, 3. spicy/herbal 
2923,waipi o hapa, 1. lime, 2. sweet, 3. earthy 
2924,wakanda og, 1. apple, 2. earthy, 3. pungent 
2925,waldo, 1. earthy, 2. pungent, 3. skunk 
2926,walker kush, 1. earthy, 2. citrus, 3. pungent 
2927,wally og, 1. earthy, 2. flowery, 3. butter 
2928,walter white, 1. pine, 2. berry, 3. earthy 
2929,wappa, 1. citrus, 2. tea, 3. spicy/herbal 
2930,warlock, 1. earthy, 2. flowery, 3. sweet 
2931,washing machine, 1. cheese, 2. earthy, 3. spicy/herbal 
2932,watermelon, 1. sweet, 2. tropical, 3. citrus 
2933,webster, 1. pineapple, 2. citrus, 3. earthy 
2934,wedding cake, 1. sweet, 2. vanilla, 3. earthy 
2935,wedding crasher, 1. berry, 2. vanilla, 3. sweet 
2936,wellness og, 1. diesel, 2. pine, 3. lemon 
2937,wembley, 1. grape, 2. lavender, 3. mango 
2938,west coast dawg, 1. sweet, 2. woody, 3. nutty 
2939,west og, 1. woody, 2. spicy/herbal, 3. lemon 
2940,webster, 1. pineapple, 2. citrus, 3. earthy 
2941,wedding cake, 1. sweet, 2. vanilla, 3. earthy 
2942,wedding crasher, 1. berry, 2. vanilla, 3. sweet 
2943,wellness og, 1. diesel, 2. pine, 3. lemon 
2944,wembley, 1. grape, 2. lavender, 3. mango 
2945,west coast dawg, 1. sweet, 2. woody, 3. nutty 
2946,west og, 1. woody, 2. spicy/herbal, 3. lemon 
2947,wet dream, 1. earthy, 2. blue cheese, 3. blueberry 
2948,wheres my bike, 1. citrus, 2. pine, 3. lime 
2949,whitaker blues, 1. sweet, 2. apple, 3. pear 
2950,white 99, 1. pine, 2. flowery, 3. citrus 
2951,white bastard, 1. sage, 2. berry, 3. blueberry 
2952,white berry, 1. berry, 2. sweet, 3. blueberry 
2953,white bubblegum, 1. earthy, 2. sweet, 3. flowery 
2954,white buffalo, 1. flowery, 2. earthy, 3. woody 
2955,white caramel cookies, 1. earthy, 2. flowery, 3. woody 
2956,white castle, 1. earthy, 2. citrus, 3. pungent 
2957,white cheese, 1. cheese, 2. pungent, 3. earthy 
2958,white cherry truffle, 1. diesel, 2. flowery, 3. sweet 
2959,white choco, 1. sweet, 2. earthy, 3. spicy/herbal 
2960,white chocolate, 1. coffee, 2. flowery, 3. nutty 
2961,white cookies, 1. sweet, 2. earthy, 3. pungent 
2962,white dawg, 1. earthy, 2. chemical, 3. woody 
2963,white dawg fire og, 1. diesel, 2. pungent, 3. pine 
2964,white diesel, 1. lemon, 2. flowery, 3. diesel 
2965,white domina, 1. pine ,,
2966,white dragon, 1. woody, 2. earthy, 3. pungent 
2967,white dream, 1. sweet, 2. earthy, 3. flowery 
2968,white durban, 1. earthy, 2. sweet, 3. woody 
2969,white elephant, 1. sweet, 2. earthy, 3. berry 
2970,white empress, 1. citrus, 2. earthy, 3. sweet 
2971,white fire 43, 1. earthy, 2. diesel, 3. woody 
2972,white fire alien og, 1. sweet, 2. woody, 3. mint 
2973,white girl, 1. berry, 2. citrus, 3. tropical 
2974,white gold, 1. pungent, 2. earthy, 3. citrus 
2975,white gorilla, 1. pungent, 2. woody, 3. chemical 
2976,white haze, 1. earthy, 2. pine, 3. lemon 
2977,white ice, 1. citrus, 2. lime, 3. tea 
2978,white knight, 1. earthy, 2. sweet, 3. pine 
2979,white kryptonite, 1. sweet, 2. pungent, 3. berry 
2980,white kush, 1. vanilla, 2. earthy, 3. spicy/herbal 
2981,white lsd, 1. diesel, 2. butter, 3. nutty 
2982,white lavender, 1. lavender, 2. flowery, 3. earthy 
2983,white lemon, 1. flowery, 2. lemon, 3. skunk 
2984,white lightning, 1. earthy, 2. flowery, 3. vanilla 
2985,white lotus, 1. citrus, 2. sweet, 3. lemon 
2986,white nightmare, 1. sweet, 2. earthy, 3. berry 
2987,white og, 1. earthy, 2. citrus, 3. pine 
2988,white queen, 1. earthy, 2. sweet, 3. diesel 
2989,white rhino, 1. earthy, 2. woody, 3. sweet 
2990,white lightning, 1. earthy, 2. flowery, 3. vanilla 
2991,white lotus, 1. citrus, 2. sweet, 3. lemon 
2992,white nightmare, 1. sweet, 2. earthy, 3. berry 
2993,white og, 1. earthy, 2. citrus, 3. pine 
2994,white queen, 1. earthy, 2. sweet, 3. diesel 
2995,white rhino, 1. earthy, 2. woody, 3. sweet 
2996,white romulan, 1. earthy, 2. cheese, 3. pungent 
2997,white russian, 1. earthy, 2. flowery, 3. citrus 
2998,white sangria, 1. woody, 2. earthy, 3. lemon 
2999,white siberian, 1. woody, 2. earthy, 3. sweet 
3000,white skunk, 1. woody, 2. flowery, 3. skunk 
3001,white slipper, 1. pepper, 2. blueberry, 3. spicy/herbal 
3002,white smurf, 1. mint, 2. citrus, 3. earthy 
3003,white strawberry, 1. sweet, 2. skunk, 3. citrus 
3004,white strawberry skunk, 1. berry, 2. honey, 3. sage 
3005,white tahoe cookies, 1. earthy, 2. pine, 3. sweet 
3006,white tygh dream, 1. earthy, 2. grapefruit, 3. spicy/herbal 
3007,white urkle, 1. earthy, 2. woody, 3. citrus 
3008,white walker kush, 1. earthy, 2. woody, 3. pungent 
3009,white widow, 1. earthy, 2. flowery, 3. woody 
3010,white zombie, 1. chemical, 2. sweet, 3. pungent 
3011,whiteout, 1. citrus, 2. earthy, 3. flowery 
3012,whitewalker og, 1. earthy, 2. pungent, 3. woody 
3013,wild thailand, 1. berry, 2. sweet, 3. woody 
3014,willie nelson, 1. earthy, 2. pepper, 3. spicy/herbal 
3015,willies ghost, 1. flowery, 2. lavender, 3. sweet 
3016,willy wonka, 1. sweet, 2. earthy, 3. woody 
3017,willys wonder, 1. citrus, 2. flowery, 3. spicy/herbal 
3018,wolfberry, 1. berry, 2. blueberry, 3. strawberry 
3019,wonder haze, 1. cheese, 2. earthy, 3. honey 
3020,wonder kid, 1. citrus, 2. mint, 3. chemical 
3021,wonder woman, 1. earthy, 2. pungent, 3. sweet 
3022,wonderwoman og, 1. menthol, 2. citrus, 3. woody 
3023,wonka s bubbilicious, 1. sweet, 2. berry, 3. citrus 
3024,woody kush, 1. woody, 2. earthy, 3. pine 
3025,wookie, 1. citrus, 2. earthy, 3. woody 
3026,wookies, 1. lavender, 2. earthy, 3. woody 
3027,wreckage, 1. earthy, 2. nutty, 3. woody 
3028,x files, 1. earthy, 2. lavender, 3. diesel 
3029,x wing, 1. earthy, 2. pine, 3. sweet 
3030,x tra chz, 1. blue cheese, 2. cheese, 3. pungent 
3031,xj 13, 1. citrus, 2. pine, 3. lemon 
3032,xxx 420, 1. honey, 2. earthy, 3. woody 
3033,xxx og, 1. earthy, 2. lemon, 3. woody 
3034,xanadu, 1. pungent, 2. berry, 3. butter 
3035,x files, 1. earthy, 2. lavender, 3. diesel 
3036,x wing, 1. earthy, 2. pine, 3. sweet 
3037,x tra chz, 1. blue cheese, 2. cheese, 3. pungent 
3038,xj 13, 1. citrus, 2. pine, 3. lemon 
3039,xxx 420, 1. honey, 2. earthy, 3. woody 
3040,xxx og, 1. earthy, 2. lemon, 3. woody 
3041,xanadu, 1. pungent, 2. berry, 3. butter 
3042,y griega, 1. citrus, 2. earthy, 3. sweet 
3043,yeti og, 1. earthy, 2. diesel, 3. cheese 
3044,yoda og, 1. earthy, 2. citrus, 3. woody 
3045,yodas brain, 1. earthy, 2. pungent, 3. diesel 
3046,yogi diesel, 1. diesel, 2. citrus, 3. pine 
3047,yolo berry, 1. blueberry, 2. grape, 3. menthol 
3048,yumboldt, 1. earthy, 2. lemon, 3. sweet 
3049,yummy, 1. pepper, 2. sweet, 3. mint 
3050,zamaldelica, 1. grapefruit, 2. mint, 3. sweet 
3051,zelda, 1. sweet, 2. citrus, 3. diesel 
3052,zellys gift, 1. lemon, 2. lime, 3. spicy/herbal 
3053,zen, 1. lavender, 2. flowery, 3. earthy 
3054,zeta sage, 1. sage, 2. earthy, 3. lemon 
3055,zeus og, 1. earthy, 2. sweet, 3. skunk 
3056,zkittlez, 1. sweet, 2. grape, 3. berry 
3057,zombie kush, 1. earthy, 2. berry, 3. grape 
3058,zombie og, 1. pungent, 2. woody, 3. skunk 
3059,zoom pie, 1. berry, 2. pungent, 3. sweet 
3060,alenuihaha, 1. tropical, 2. sweet, 3. pineapple 
